product_title,category,service_page_url,typical_price_gbp,seasonality_type,event_months,classification_reason
KERRY - Southern Ireland Photography Workshop - Mar 2026,workshop (residential),https://www.alanranger.com/photography-workshops,,event_bound,3,Once/year - product name says Mar 2026
LAKE DISTRICT Photography Workshops - Jan - Mar - Sep - Nov,workshop (residential),https://www.alanranger.com/photography-workshops,975,event_bound,"1,2,3,4,9,11","Lake District residential x4/year per user: Jan/Feb, Mar/Apr, Sep, Nov"
"PEAK DISTRICT Photography Workshops - May, Oct and Nov",workshop (1-day),https://www.alanranger.com/one-day-landscape-photography-workshops,150,season_bound,,workshop - light/weather seasonal
Landscape Photography DEVON Workshops - Various Dates,workshop (residential),https://www.alanranger.com/photography-workshops,750,event_bound,"2,9",Hartland/Devon residential x2/year per user: Feb + Sep
Landscape Photography SNOWDONIA - Sat 26 - Sun 27 Sep 2026,workshop (residential),https://www.alanranger.com/photography-workshops,595,event_bound,9,Once/year - product name says Sep 26-27
GOWER Landscape Photography Wales - 28 Aug - 30 Aug 2026,workshop (residential),https://www.alanranger.com/photography-workshops,825,event_bound,8,Once/year - product name says 28-30 Aug
Landscape Photography Workshop NORFOLK - Coastal 20 - 22 Nov,workshop (residential),https://www.alanranger.com/photography-workshops,975,event_bound,11,Once/year - product name says 20-22 Nov
ANGLESEY Landscape Photography Workshop -  May 2027,workshop (residential),https://www.alanranger.com/photography-workshops,795,event_bound,5,Once/year - product name says May 2027
Landscape Photography Workshop Glencoe | 15 - 17 Mar 2021,workshop (residential),https://www.alanranger.com/photography-workshops,,season_bound,,residential trip - scheduled windows only
NANT MILL Woodlands and Waterfalls Photo Workshop 30 May,workshop (half-day),https://www.alanranger.com/landscape-photography-workshops,,season_bound,,workshop - light/weather seasonal
Long Exposure Photography Workshop KENILWORTH Sunset,workshop (half-day),https://www.alanranger.com/landscape-photography-workshops,50,season_bound,,workshop - light/weather seasonal
FAIRY GLEN and Fairy Falls Long Exposure Photography,workshop (half-day),https://www.alanranger.com/landscape-photography-workshops,125,event_bound,,natural window only
BURNHAM ON SEA Long Exposure Photography Workshop 1 Aug,workshop (half-day),https://www.alanranger.com/landscape-photography-workshops,95,season_bound,,workshop - light/weather seasonal
NORTH YORKSHIRE Landscape Photography Workshop - Sep 2026,workshop (residential),https://www.alanranger.com/photography-workshops,,season_bound,,residential trip - scheduled windows only
PEAK DISTRICT HEATHER Photography Workshops - 15-16 Aug,workshop (half-day),https://www.alanranger.com/landscape-photography-workshops,125,event_bound,8,natural window only
Photography Workshops CHESTERTON WINDMILL - Warwickshire,workshop (half-day),https://www.alanranger.com/landscape-photography-workshops,50,season_bound,,workshop - light/weather seasonal
LAVENDER FIELD Photography Workshop - Gloucestershire July,workshop (half-day),https://www.alanranger.com/landscape-photography-workshops,150,event_bound,7,natural window only
Poppy Fields Photography Workshops | Worcestershire,workshop (half-day),https://www.alanranger.com/landscape-photography-workshops,,event_bound,"6,7",natural window only
"The Secret of WOODLAND PHOTOGRAPHY- 1-Day Jan, Apr, Aug, Oct",workshop (1-day),https://www.alanranger.com/one-day-landscape-photography-workshops,125,event_bound,"1,4,8,10","scheduled Jan, Apr, Aug, Oct only per product name"
SEZINCOTE Garden Photography Workshop - Gloucs 29 May,workshop (half-day),https://www.alanranger.com/landscape-photography-workshops,55,event_bound,5,natural window only
Shropshire Landscape Photography Workshop | Shrewsbury,workshop (1-day),https://www.alanranger.com/one-day-landscape-photography-workshops,,season_bound,,workshop - seasonal demand
SOMERSET Landscape Photography Workshops 9 - 11 May 2025,workshop (residential),https://www.alanranger.com/photography-workshops,,season_bound,,residential trip - scheduled windows only
SUFFOLK Landscape Photography Workshops - 5th-7th Feb,workshop (residential),https://www.alanranger.com/photography-workshops,995,season_bound,,residential trip - scheduled windows only
URBAN ARCHITECTURE Photography Workshops - Coventry 9 Sep,workshop (half-day),https://www.alanranger.com/landscape-photography-workshops,50,season_bound,,workshop - light/weather seasonal
WALES Photography Workshop | Lake Vyrnwy 10-11 Oct,workshop (residential),https://www.alanranger.com/photography-workshops,525,event_bound,10,Once/year - product name says 10-11 Oct
WARWICKSHIRE Woodland PHOTOGRAPHY WALKS - Monthly - 2hrs,workshop (half-day),https://www.alanranger.com/landscape-photography-workshops,15,year_round,,default - any time
Landscape YORKSHIRE DALES Photography Workshop - 16 - 18 Apr,workshop (residential),https://www.alanranger.com/photography-workshops,825,event_bound,4,Once/year - product name says 16-18 Apr
#02 Top 10 Tips - To make a photograph | Professional Tips,digital download,https://www.alanranger.com/photography-shop-services,,year_round,,default - any time
#04 Top 10 Tips - To better composition | Professional Tips,digital download,https://www.alanranger.com/photography-shop-services,,year_round,,default - any time
#05 Top 10 Tips - To better portraits | Professional Tips,digital download,https://www.alanranger.com/photography-shop-services,,year_round,,default - any time
#06 Top 10 Tips - To better landscapes | Professional Tips,digital download,https://www.alanranger.com/photography-shop-services,,year_round,,default - any time
#07 Top 10 Tips - To better Black and white photos,digital download,https://www.alanranger.com/photography-shop-services,,year_round,,default - any time
Annual Pick N Mix Subscription | Interest Free Payment Plan,subscription/payment-plan,https://www.alanranger.com/photography-payment-plan,,year_round,,subscription/plan
Beginners Photography Classes - Coventry - Get Off Auto,course,https://www.alanranger.com/beginners-photography-classes,,season_bound,,evening course - term-time pattern
Beginners Photography Course | 3 Weekly Evening Classes,course,https://www.alanranger.com/beginners-photography-classes,150,season_bound,,evening course - term-time pattern
Beginners Portrait Photography Course - Coventry - 1 Day,course,https://www.alanranger.com/photography-courses-coventry,,season_bound,,evening course - term-time pattern
Professional Black and White Photography Course | Coventry,course,https://www.alanranger.com/photography-courses-coventry,,season_bound,,evening course - term-time pattern
Calendar 2022 - UK Landscape Images from Alan Ranger,gift voucher,https://www.alanranger.com/photography-gift-vouchers,,year_round,,default - any time
Professional Digital DSLR Camera Sensor Clean | Coventry,service,https://www.alanranger.com/photography-shop-services,,year_round,,service - any time
15 Camera Settings — Photography Field Checklists PDF Bundle,digital download,https://www.alanranger.com/photography-shop-services,,year_round,,default - any time
10 Composition PDFs — Photography Field Checklists Bundle,digital download,https://www.alanranger.com/photography-shop-services,,year_round,,default - any time
Viewing Frames for Composition | Used by Professionals,merchandise,https://www.alanranger.com/photography-shop-services,,year_round,,default - any time
Fine Art Photography Prints - Canvas wrap-round - Multi Size,print,https://www.alanranger.com/fine-art-prints,,year_round,,print sale
Fine Art Photography Prints - Unframed Prints - Multi Sizes,print,https://www.alanranger.com/fine-art-prints,,year_round,,print sale
"Foundation Digital Pack – 60 Modules, Checklists & Exams",digital download,https://www.alanranger.com/free-online-photography-course,,year_round,,default - any time
4 x 2hr Private Photography Classes - Face to Face Coventry,1-2-2001,https://www.alanranger.com/private-photography-lessons,,year_round,,1-2-1 lesson - any time
Framed Fine Art Photography Prints - Multiple Sizes,print,https://www.alanranger.com/fine-art-prints,,year_round,,print sale
Intermediates Intentions Photography Project Course,course,https://www.alanranger.com/photography-courses-coventry,,season_bound,,evening course - term-time pattern
Intermediates Lightroom Photo Editing Course | Coventry,course (Lightroom),https://www.alanranger.com/photo-editing-course-coventry,,season_bound,,evening course - term-time pattern
Lightroom Courses for Beginners Photo Editing - Coventry,course (Lightroom),https://www.alanranger.com/photo-editing-course-coventry,150,season_bound,,evening course - term-time pattern
Monthly Photography Mentoring Sessions - Online - Zoom,mentoring,https://www.alanranger.com/photography-mentoring-online-assignments,,year_round,,online/remote - any time
Monthly Online Photography Mentoring for 1 Year - Zoom,mentoring,https://www.alanranger.com/photography-mentoring-online-assignments,,year_round,,online/remote - any time
Monthly Pick N Mix Subscription | Interest Free Payment Plan,subscription/payment-plan,https://www.alanranger.com/photography-payment-plan,,year_round,,subscription/plan
Photo Print Preparation Service 30-min – File Check & Advice,print,https://www.alanranger.com/fine-art-prints,,year_round,,print sale
35 PDFs — 1 Page Photography Field Checklists Bundle,digital download,https://www.alanranger.com/photography-shop-services,,year_round,,default - any time
Alan Ranger Academy - Photography Foundation Course eBook,digital download,https://www.alanranger.com/free-online-photography-course,,season_bound,,evening course - term-time pattern
10 Genre PDFs — Photography Field Checklists Bundle,digital download,https://www.alanranger.com/photography-shop-services,,year_round,,default - any time
Photography Gift Vouchers | Digital eCard | Email Delivery,gift voucher,https://www.alanranger.com/photography-gift-vouchers,,year_round,,voucher sale
Photography Masterclasses-Learn and improve your photography,course,https://www.alanranger.com/photography-courses-coventry,,season_bound,,evening course - term-time pattern
Photography Tips Pocket Guides - Professional Tips,digital download,https://www.alanranger.com/photography-shop-services,,year_round,,default - any time
A3 Mounted Fine Art Print - Unframed | Professional,print,https://www.alanranger.com/fine-art-prints,,year_round,,print sale
Online Photography Classes 121 - Zoom - Package Options,1-2-2001,https://www.alanranger.com/photography-lessons-online-121,,year_round,,1-2-1 lesson - any time
Quarterly Pick N Mix Subscription | Interest Free Payments,subscription/payment-plan,https://www.alanranger.com/photography-payment-plan,,year_round,,subscription/plan
RPS Courses - Independent RPS Mentoring for RPS Distinctions,1-2-2001,https://www.alanranger.com/photography-lessons-online-121,,season_bound,,evening course - term-time pattern
5 Week Beginners Photography Course (RETIRED format),course,https://www.alanranger.com/beginners-photography-classes,250,season_bound,,evening course - term-time pattern
Get Off Auto Beginners Class (RETIRED),course,https://www.alanranger.com/beginners-photography-classes,60,season_bound,,evening course - term-time pattern
RPS Mentoring Course (historical),1-2-2001,https://www.alanranger.com/rps-courses-mentoring-distinctions,395,season_bound,,evening course - term-time pattern
Sensor Clean Service (historical),service,https://www.alanranger.com/photography-shop-services,30,year_round,,service - any time
Commission - Commercial / Product Shoot,commission,https://www.alanranger.com/professional-commercial-photographer-coventry,,year_round,,B2B commission - irregular but not seasonal
Commission - Corporate / Staff Training,commission,https://www.alanranger.com/corporate-photography-training,,year_round,,B2B commission - irregular but not seasonal
Commission - Editorial / Guest Blog / Judging,commission,,,year_round,,B2B commission - irregular but not seasonal
Royalties & Affiliate Income,royalty,https://www.alanranger.com/fine-art-prints,,none,,passive royalty income
Print Sale - Generic (historical),print,https://www.alanranger.com/fine-art-prints,,year_round,,print sale
1-2-1 Single Session - 1hr (Face-to-Face),1-2-2001,https://www.alanranger.com/private-photography-lessons,65,year_round,,1-2-1 lesson - any time
1-2-1 Single Session - 2hr (Face-to-Face),1-2-2001,https://www.alanranger.com/private-photography-lessons,120,year_round,,1-2-1 lesson - any time
1-2-1 Single Session - 1hr Zoom,1-2-2001,https://www.alanranger.com/photography-lessons-online-121,50,year_round,,1-2-1 lesson - any time
1-2-1 Package - 4 x 2hr Face-to-Face (the GBP360 4-for-3),1-2-2001,https://www.alanranger.com/private-photography-lessons,360,year_round,,1-2-1 lesson - any time
1-2-1 Package - 4 x 1hr Zoom,1-2-2001,https://www.alanranger.com/photography-lessons-online-121,170,year_round,,1-2-1 lesson - any time
1-2-1 Package - Zoom Multi-Session,1-2-2001,https://www.alanranger.com/photography-lessons-online-121,300,year_round,,1-2-1 lesson - any time
Mentoring - Monthly Subscription,mentoring,https://www.alanranger.com/photography-mentoring-online-assignments,,year_round,,online/remote - any time
Gift Voucher - Digital eCard,gift voucher,https://www.alanranger.com/photography-gift-vouchers,,year_round,,voucher sale
Pick N Mix Payment Plan,subscription/payment-plan,https://www.alanranger.com/photography-payment-plan,,year_round,,subscription/plan
Academy - Membership / eBook / Exams (historical bundle),digital download,https://www.alanranger.com/free-online-photography-course,,year_round,,online/remote - any time
Woodland Photography Walk - Warwickshire (half-day low-cost),workshop (half-day),https://www.alanranger.com/landscape-photography-workshops,15,year_round,,default - any time
Non-Residential Workshop - Generic (historical),workshop,https://www.alanranger.com/landscape-photography-workshops,,year_round,,default - any time
Residential Workshop - Add-on (Extra Night/B&B),workshop (residential),https://www.alanranger.com/photography-workshops,,none,,"add-on, not a standalone product"
Voucher/Plan Redemption - not a product sale,adjustment,,,none,,voucher plumbing
