product_title,product_url,category,typical_price_gbp,service_page_url,service_page_title,known_variants,sources
NANT MILL Woodlands and Waterfalls Photo Workshop 30 May,https://www.alanranger.com/photo-workshops-uk/landscape-photography-workshops-nant-mill,workshop (half-day),,https://www.alanranger.com/landscape-photography-workshops,"Landscape Photography Workshops (half-day, 2.5-4hr hub)",,05-workshops
Long Exposure Photography Workshop KENILWORTH Sunset,https://www.alanranger.com/photo-workshops-uk/long-exposure-photography-kenilworth,workshop (half-day),50,https://www.alanranger.com/landscape-photography-workshops,"Landscape Photography Workshops (half-day, 2.5-4hr hub)",,05-workshops; 05-event-mappings
FAIRY GLEN and Fairy Falls Long Exposure Photography,https://www.alanranger.com/photo-workshops-uk/long-exposure-photography-workshop-fairy-glen,workshop (half-day),125,https://www.alanranger.com/landscape-photography-workshops,"Landscape Photography Workshops (half-day, 2.5-4hr hub)",,05-workshops; 05-event-mappings
BURNHAM ON SEA Long Exposure Photography Workshop 1 Aug,https://www.alanranger.com/photo-workshops-uk/long-exposure-photography-workshops-burnham,workshop (half-day),95,https://www.alanranger.com/landscape-photography-workshops,"Landscape Photography Workshops (half-day, 2.5-4hr hub)",,05-workshops; 05-event-mappings
NORTH YORKSHIRE Landscape Photography Workshop - Sep 2026,https://www.alanranger.com/photo-workshops-uk/north-yorkshire-landscape-photography,workshop (residential),,https://www.alanranger.com/photography-workshops,Photography Workshops (residential hub),,05-workshops
PEAK DISTRICT HEATHER Photography Workshops - 15-16 Aug,https://www.alanranger.com/photo-workshops-uk/peak-district-heather-photography-workshop,workshop (half-day),125,https://www.alanranger.com/landscape-photography-workshops,"Landscape Photography Workshops (half-day, 2.5-4hr hub)",,05-workshops; 05-event-mappings
Photography Workshops CHESTERTON WINDMILL - Warwickshire,https://www.alanranger.com/photo-workshops-uk/photography-workshops-chesterton-windmill,workshop (half-day),50,https://www.alanranger.com/landscape-photography-workshops,"Landscape Photography Workshops (half-day, 2.5-4hr hub)",,05-workshops; 05-event-mappings
LAVENDER FIELD Photography Workshop - Gloucestershire July,https://www.alanranger.com/photo-workshops-uk/photography-workshops-lavender-fields,workshop (half-day),150,https://www.alanranger.com/landscape-photography-workshops,"Landscape Photography Workshops (half-day, 2.5-4hr hub)",,05-workshops; 05-event-mappings
Poppy Fields Photography Workshops | Worcestershire,https://www.alanranger.com/photo-workshops-uk/poppy-fields-photography-workshops,workshop (half-day),,https://www.alanranger.com/landscape-photography-workshops,"Landscape Photography Workshops (half-day, 2.5-4hr hub)",,05-workshops
"The Secret of WOODLAND PHOTOGRAPHY- 1-Day Jan, Apr, Aug, Oct",https://www.alanranger.com/photo-workshops-uk/secrets-of-woodland-photography-workshop,workshop (1-day),125,https://www.alanranger.com/landscape-photography-workshops,Landscape Photography Workshops,,05-workshops; 05-event-mappings
SEZINCOTE Garden Photography Workshop - Gloucs 29 May,https://www.alanranger.com/photo-workshops-uk/sezincote-garden-photography-workshop,workshop (half-day),55,https://www.alanranger.com/landscape-photography-workshops,"Landscape Photography Workshops (half-day, 2.5-4hr hub)",,05-workshops; 05-event-mappings
Shropshire Landscape Photography Workshop | Shrewsbury,https://www.alanranger.com/photo-workshops-uk/shropshire-landscape-photography-workshops,workshop (1-day),,https://www.alanranger.com/landscape-photography-workshops,Landscape Photography Workshops,,05-workshops
SOMERSET Landscape Photography Workshops 9 - 11 May 2025,https://www.alanranger.com/photo-workshops-uk/somerset-landscape-photography-workshops,workshop (residential),,https://www.alanranger.com/photography-workshops,Photography Workshops (residential hub),,05-workshops
SUFFOLK Landscape Photography Workshops - 5th-7th Feb,https://www.alanranger.com/photo-workshops-uk/suffolk-landscape-photography-workshops,workshop (residential),995,https://www.alanranger.com/photography-workshops,Photography Workshops (residential hub),Suffolk Landscape Photography Workshops | Southwold,05-workshops; 05-event-mappings
URBAN ARCHITECTURE Photography Workshops - Coventry 9 Sep,https://www.alanranger.com/photo-workshops-uk/urban-architecture-photography-workshops-coventry,workshop (half-day),50,https://www.alanranger.com/landscape-photography-workshops,"Landscape Photography Workshops (half-day, 2.5-4hr hub)",,05-workshops; 05-event-mappings
WALES Photography Workshop | Lake Vyrnwy 10-11 Oct,https://www.alanranger.com/photo-workshops-uk/wales-photography-workshop-pistyll-rhaeadr,workshop (residential),525,https://www.alanranger.com/photography-workshops,Photography Workshops (residential hub),WALES Photography Workshop | Lake Vyrnwy 30-31 May,05-workshops; 05-event-mappings
WARWICKSHIRE Woodland PHOTOGRAPHY WALKS - Monthly - 2hrs,https://www.alanranger.com/photo-workshops-uk/woodland-photography-walk-warwickshire,workshop (half-day),15,https://www.alanranger.com/landscape-photography-workshops,"Landscape Photography Workshops (half-day, 2.5-4hr hub)",,05-workshops; 05-event-mappings
Landscape YORKSHIRE DALES Photography Workshop - 16 - 18 Apr,https://www.alanranger.com/photo-workshops-uk/yorkshire-dales-photography-workshops,workshop (residential),825,https://www.alanranger.com/photography-workshops,Photography Workshops (residential hub),,05-workshops; 05-event-mappings
#02 Top 10 Tips - To make a photograph | Professional Tips,https://www.alanranger.com/photography-services-near-me/02-top-10-tips-to-make-a-photograph,digital download,,https://www.alanranger.com/photography-shop-services,Photography Shop & Services,,04-services
#04 Top 10 Tips - To better composition | Professional Tips,https://www.alanranger.com/photography-services-near-me/04-top-10-tips-to-better-composition,digital download,,https://www.alanranger.com/photography-shop-services,Photography Shop & Services,,04-services
#05 Top 10 Tips - To better portraits | Professional Tips,https://www.alanranger.com/photography-services-near-me/05-top-10-tips-to-better-portraits,digital download,,https://www.alanranger.com/photography-shop-services,Photography Shop & Services,,04-services
#06 Top 10 Tips - To better landscapes | Professional Tips,https://www.alanranger.com/photography-services-near-me/06-top-10-tips-to-better-landscapes,digital download,,https://www.alanranger.com/photography-shop-services,Photography Shop & Services,,04-services
#07 Top 10 Tips - To better Black and white photos,https://www.alanranger.com/photography-services-near-me/07-top-10-tips-to-better-bw-photos,digital download,,https://www.alanranger.com/photography-shop-services,Photography Shop & Services,,04-services
Annual Pick N Mix Subscription | Interest Free Payment Plan,https://www.alanranger.com/photography-services-near-me/annual-pick-n-mix-subscription,subscription/payment-plan,,https://www.alanranger.com/photography-payment-plan,Photography Payment Plan (Pick N Mix),,04-services
Beginners Photography Classes - Coventry - Get Off Auto,https://www.alanranger.com/photography-services-near-me/beginners-photography-classes-coventry,course,,https://www.alanranger.com/beginners-photography-classes,Beginners Photography Classes,,04-services
Beginners Photography Course | 3 Weekly Evening Classes,https://www.alanranger.com/photography-services-near-me/beginners-photography-course,course,150,https://www.alanranger.com/beginners-photography-classes,Beginners Photography Classes,,04-services; 05-event-mappings
Beginners Portrait Photography Course - Coventry - 1 Day,https://www.alanranger.com/photography-services-near-me/beginners-portrait-photography-course,course,,https://www.alanranger.com/photography-courses-coventry,Photography Courses Coventry,,04-services
Professional Black and White Photography Course | Coventry,https://www.alanranger.com/photography-services-near-me/black-and-white-photography-course,course,,https://www.alanranger.com/photography-courses-coventry,Photography Courses Coventry,,04-services
Calendar 2022 - UK Landscape Images from Alan Ranger,https://www.alanranger.com/photography-services-near-me/calendar-2022,gift voucher,,https://www.alanranger.com/photography-gift-vouchers,Photography Gift Vouchers,,04-services
Professional Digital DSLR Camera Sensor Clean | Coventry,https://www.alanranger.com/photography-services-near-me/camera-sensor-clean,service,,https://www.alanranger.com/photography-shop-services,Photography Shop & Services,,04-services
15 Camera Settings — Photography Field Checklists PDF Bundle,https://www.alanranger.com/photography-services-near-me/camera-settings-photography-field-checklists,digital download,,https://www.alanranger.com/photography-shop-services,Photography Shop & Services,,04-services
10 Composition PDFs — Photography Field Checklists Bundle,https://www.alanranger.com/photography-services-near-me/composition-settings-photography-field-checklists,digital download,,https://www.alanranger.com/photography-shop-services,Photography Shop & Services,,04-services
Viewing Frames for Composition | Used by Professionals,https://www.alanranger.com/photography-services-near-me/composition-viewing-frames,merchandise,,https://www.alanranger.com/photography-shop-services,Photography Shop & Services,,04-services
Fine Art Photography Prints - Canvas wrap-round - Multi Size,https://www.alanranger.com/photography-services-near-me/fine-art-photography-prints-canvas,print,,https://www.alanranger.com/fine-art-prints,Fine Art Prints,,04-services
Fine Art Photography Prints - Unframed Prints - Multi Sizes,https://www.alanranger.com/photography-services-near-me/fine-art-photography-prints-unframed,print,,https://www.alanranger.com/fine-art-prints,Fine Art Prints,,04-services
"Foundation Digital Pack – 60 Modules, Checklists & Exams",https://www.alanranger.com/photography-services-near-me/foundation-digital-pack-plus,academy,,https://www.alanranger.com/free-online-photography-course,Free Online Photography Course,,04-services
4 x 2hr Private Photography Classes - Face to Face Coventry,https://www.alanranger.com/photography-services-near-me/four-private-photography-classes,1-2-1,,https://www.alanranger.com/private-photography-lessons,Private Photography Lessons (Face-to-Face),,04-services
Framed Fine Art Photography Prints - Multiple Sizes,https://www.alanranger.com/photography-services-near-me/framed-fine-art-photography-prints,print,,https://www.alanranger.com/fine-art-prints,Fine Art Prints,,04-services
Intermediates Intentions Photography Project Course,https://www.alanranger.com/photography-services-near-me/intermediates-intentions-photography-project-course,course,,https://www.alanranger.com/photography-courses-coventry,Photography Courses Coventry,,04-services
Intermediates Lightroom Photo Editing Course | Coventry,https://www.alanranger.com/photography-services-near-me/intermediates-lightroom-photography-course,course (Lightroom),,https://www.alanranger.com/photo-editing-course-coventry,Photo Editing Course Coventry (Lightroom),,04-services
Lightroom Courses for Beginners Photo Editing - Coventry,https://www.alanranger.com/photography-services-near-me/lightroom-courses-for-beginners-coventry,course (Lightroom),150,https://www.alanranger.com/photo-editing-course-coventry,Photo Editing Course Coventry (Lightroom),,04-services; 05-event-mappings
Monthly Photography Mentoring Sessions - Online - Zoom,https://www.alanranger.com/photography-services-near-me/monthly-online-photography-mentoring,mentoring,,https://www.alanranger.com/photography-mentoring-online-assignments,Online Photography Mentoring & Assignments,,04-services
Monthly Online Photography Mentoring for 1 Year - Zoom,https://www.alanranger.com/photography-services-near-me/monthly-online-photography-mentoring-one-year,mentoring,,https://www.alanranger.com/photography-mentoring-online-assignments,Online Photography Mentoring & Assignments,,04-services
Monthly Pick N Mix Subscription | Interest Free Payment Plan,https://www.alanranger.com/photography-services-near-me/monthly-pick-n-mix-subscription,subscription/payment-plan,,https://www.alanranger.com/photography-payment-plan,Photography Payment Plan (Pick N Mix),,04-services
Photo Print Preparation Service 30-min – File Check & Advice,https://www.alanranger.com/photography-services-near-me/photo-print-preparation-service-30min,print,,https://www.alanranger.com/fine-art-prints,Fine Art Prints,,04-services
35 PDFs — 1 Page Photography Field Checklists Bundle,https://www.alanranger.com/photography-services-near-me/photography-35bundle-photography-field-checklists,digital download,,https://www.alanranger.com/photography-shop-services,Photography Shop & Services,,04-services
Alan Ranger Academy - Photography Foundation Course eBook,https://www.alanranger.com/photography-services-near-me/photography-foundation-course-ebook,academy,,https://www.alanranger.com/free-online-photography-course,Free Online Photography Course,,04-services
10 Genre PDFs — Photography Field Checklists Bundle,https://www.alanranger.com/photography-services-near-me/photography-genre-photography-field-checklists,digital download,,https://www.alanranger.com/photography-shop-services,Photography Shop & Services,,04-services
Photography Gift Vouchers | Digital eCard | Email Delivery,https://www.alanranger.com/photography-services-near-me/photography-gift-vouchers,gift voucher,,https://www.alanranger.com/photography-gift-vouchers,Photography Gift Vouchers,,04-services
Photography Masterclasses-Learn and improve your photography,https://www.alanranger.com/photography-services-near-me/photography-masterclasses-coventry,course,,https://www.alanranger.com/photography-courses-coventry,Photography Courses Coventry,,04-services
Photography Tips Pocket Guides - Professional Tips,https://www.alanranger.com/photography-services-near-me/photography-tips-pocket-guide-series,digital download,,https://www.alanranger.com/photography-shop-services,Photography Shop & Services,,04-services
A3 Mounted Fine Art Print - Unframed | Professional,https://www.alanranger.com/photography-services-near-me/print,print,,https://www.alanranger.com/fine-art-prints,Fine Art Prints,,04-services
Online Photography Classes 121 - Zoom - Package Options,https://www.alanranger.com/photography-services-near-me/private-online-photography-classes-zoom,1-2-1,,https://www.alanranger.com/photography-lessons-online-121,Online 1-2-1 Photography Lessons (Zoom),,04-services
Quarterly Pick N Mix Subscription | Interest Free Payments,https://www.alanranger.com/photography-services-near-me/quarterly-pick-n-mix-subscription,subscription/payment-plan,,https://www.alanranger.com/photography-payment-plan,Photography Payment Plan (Pick N Mix),,04-services
RPS Courses - Independent RPS Mentoring for RPS Distinctions,https://www.alanranger.com/photography-services-near-me/rps-mentoring-photography-course,1-2-1,,https://www.alanranger.com/photography-lessons-online-121,Online 1-2-1 Photography Lessons (Zoom),,04-services
5 Week Beginners Photography Course (RETIRED format),,course,250,https://www.alanranger.com/beginners-photography-classes,Beginners Photography Classes,5wk Beginners; 5wk Beginners Course; Beginners Course; Beginners Camera; 3wk Camera Course; Camera Course Nov,RETIRED - historical booking-sheet only
Get Off Auto Beginners Class (RETIRED),,course,60,https://www.alanranger.com/beginners-photography-classes,Beginners Photography Classes,Get Off Auto,RETIRED - historical booking-sheet only
RPS Mentoring Course (historical),https://www.alanranger.com/photography-services-near-me/rps-mentoring-photography-course,1-2-1,395,https://www.alanranger.com/rps-courses-mentoring-distinctions,RPS Courses Mentoring Distinctions,RPS; RPS Course; RPS Ext Course; Mentoring RPS; Photography Mentoring for Qualification,historical variants
Sensor Clean Service (historical),https://www.alanranger.com/photography-services-near-me/camera-sensor-clean,service,30,https://www.alanranger.com/photography-shop-services,Photography Shop & Services,Sensor Clean; sensore clean; Sensor Clean x 3,booking-sheet historical
Commission - Commercial / Product Shoot,,commission,,https://www.alanranger.com/professional-commercial-photographer-coventry,Professional Commercial Photographer Coventry,Product Shoot; Air BnB Shoot; Artwork Photography; Author Photos; Portrait Shoot; Photo shoot sculpture; Screfix Job; On Location; 4hrs for 2 People; Biggin Hall Enquiry; Autumn Creative,NOT a website product - manual commission work
Commission - Property / Interior Photographer (Coventry),,commission,,https://www.alanranger.com/property-photographer-coventry,Property Photographer Coventry,Property Shoot; Interior Shoot; Estate Agent; Holiday Let; Hospitality Shoot; B&B Shoot,NOT a website product - manual commission work
Commission - Corporate / Staff Training,,commission,,https://www.alanranger.com/corporate-photography-training,Corporate Photography Training,Corporate Training; Staff Training; PWA Training; Camera Club Talk; Consultancy,NOT a website product - manual B2B work
Commission - Editorial / Guest Blog / Judging,,commission,,,,Guest Blog; Blog Post; Judging; Judging Fees; Photo Editing,NOT a website product - editorial/judging fees
Royalties & Affiliate Income,,royalty,,https://www.alanranger.com/fine-art-prints,Fine Art Prints,Royalties; Royalty; Card royalies; Print royalties; Kase Affiliates; Travel Costs,NOT a website product - passive/affiliate income
Print Sale - Generic (historical),,print,,https://www.alanranger.com/fine-art-prints,Fine Art Prints,Prints; Print Sale; Print Sales; Print sales; Cards; Pocket Guides; Tripod,historical generic print/merch sales
1-2-1 Single Session - 1hr (Face-to-Face),,1-2-1,65,https://www.alanranger.com/private-photography-lessons,Private Photography Lessons (Face-to-Face),1hr 1-2-1; 1hr 1-2-1 F2F; 1hr F2F; 1hr F2F 1-2-1; 1hrs 1-2-1; 1-2-1; 1-2-1 F2F; 1-2-1 lesson; 121; 1hr; 2hr F2F 121; 1-2-1 Balance,historical 1-2-1 single sessions
1-2-1 Single Session - 2hr (Face-to-Face),,1-2-1,120,https://www.alanranger.com/private-photography-lessons,Private Photography Lessons (Face-to-Face),2hr 1-2-1; 2hr F2F; 2hrs 1-2-1; 2hrs F-2-F; 2hrs F2F 1-2-1; 2hr f2f 1-2-1; F2F 1-2-1; 3hr Location 1-2-1,historical 1-2-1 2hr sessions
1-2-1 Single Session - 1hr Zoom,,1-2-1,50,https://www.alanranger.com/photography-lessons-online-121,Online 1-2-1 Photography Lessons (Zoom),1-2-1 Zoom; 1hr Zoom; Zoom 1hr; Zoom 1 Hr; Zomm 1hr; 2hr Zoom 1-2-1,historical Zoom single sessions
1-2-1 Package - 4 x 2hr Face-to-Face (the GBP360 4-for-3),https://www.alanranger.com/photography-services-near-me/four-private-photography-classes,1-2-1,360,https://www.alanranger.com/private-photography-lessons,Private Photography Lessons (Face-to-Face),4 x 2hr 1-2-1; 4 x 2hr 1-2-1 F2F; 4 x 2hr 1-2-1 Lessons; 4 x 2hr 1-2-1s; 4 x 2hr 121s; 4 x 2hr sessions; 4 x 2hrs; 4 x2hr 1-2-1s; 4x2hr 1-2-1s; 4x2hr 121s,KEY PACKAGE - 11x 2024 1x 2025 0x 2026
1-2-1 Package - 4 x 1hr Zoom,https://www.alanranger.com/photography-services-near-me/private-online-photography-classes-zoom,1-2-1,170,https://www.alanranger.com/photography-lessons-online-121,Online 1-2-1 Photography Lessons (Zoom),4 1hr Zooms; 4 x 1 hr zooms; 4 x 1hr 1-2-1; 4 x 1hr 1-2-1s; 4 x 1hr Zoom; 4 x1hr Zooms; Zoom 1-2-1s,historical Zoom 4-packs
1-2-1 Package - Zoom Multi-Session,https://www.alanranger.com/photography-services-near-me/private-online-photography-classes-zoom,1-2-1,300,https://www.alanranger.com/photography-lessons-online-121,Online 1-2-1 Photography Lessons (Zoom),Zoom Package; Zoom Package 8 x 1hr; 6 Zoom Lessons; 6 x 1hr sessions; 6 x 1hr Zooms; 4hrs 1-2-1; 1-2-1 s,historical Zoom packages
Mentoring - Monthly Subscription,https://www.alanranger.com/photography-services-near-me/monthly-online-photography-mentoring,mentoring,,https://www.alanranger.com/photography-mentoring-online-assignments,Online Photography Mentoring & Assignments,Mentoring Subs; Monthly Mentoring; Annual Mentoring,historical mentoring
Gift Voucher - Digital eCard,https://www.alanranger.com/photography-services-near-me/photography-gift-vouchers,gift voucher,,https://www.alanranger.com/photography-gift-vouchers,Photography Gift Vouchers,Digital Gift Card; Digital Gidt Card; Digital Voucher; Digital e-Card; Gift Voucher,historical gift vouchers
Pick N Mix Payment Plan,https://www.alanranger.com/photography-services-near-me/annual-pick-n-mix-subscription,subscription/payment-plan,,https://www.alanranger.com/photography-payment-plan,Photography Payment Plan (Pick N Mix),Pick N Mix Payments; Annual PnM; PnM Balance,historical Pick N Mix
Academy - Membership & Income,https://www.alanranger.com/photography-services-near-me/photography-foundation-course-ebook,academy,,https://www.alanranger.com/free-online-photography-course,Free Online Photography Course,Academy sales; Academy; Academy Membership; Annual Member; Academy Exams; Exams Module; 15 Exams; Ebook; eBook Academy; e-Book; E-Book; E-Book Foundation; E-book online course; Academby Book; Academby Book +PDFs; Academy eBook; 35 PDF Bundle; Donation; Academy - Membership / eBook / Exams (historical bundle),Renamed from Academy sales — matches Booking Sheet col I
Woodland Photography Walk - Warwickshire (half-day low-cost),https://www.alanranger.com/photo-workshops-uk/woodland-photography-walk-warwickshire,workshop (half-day),15,https://www.alanranger.com/landscape-photography-workshops,Landscape Photography Workshops,Woodland Photography Walk; Woodland Walk; Woodland Walks; Hay Wood; Hay Woods,high-volume low-value walk
Non-Residential Workshop - Generic (historical),,workshop,,https://www.alanranger.com/landscape-photography-workshops,Landscape Photography Workshops,Stratford; Clent Hills; Various,historical - specific event unknown
Residential Workshop - Add-on (Extra Night/B&B),,workshop (residential),,https://www.alanranger.com/photography-workshops,Photography Workshops (residential hub),Extra Night; Extra Night B&B; Hartland Double Occ; Norfolk extra night,add-on not standalone product
Voucher/Plan Redemption - not a product sale,,adjustment,,,,,"voucher/Pick n Mix redemption - ADJUSTMENT, not product revenue"
